file,DER,JER
bravd,0.2784,0.6188
zqidv,0.2957,0.5557
uqxlg,0.6536,0.9402
diysk,0.7723,0.9027
xlyov,0.0138,0.0136
tkhgs,0.161,0.2589
usqam,0.6659,0.9046
rcxzg,0.8891,0.9331
aisvi,0.1357,0.5248
kctgl,0.783,0.805
fkvvo,0.3001,0.693
eoyaz,0.7173,0.9386
dscgs,0.3445,0.5041
eucfa,0.4163,0.8529
zidwg,0.4785,0.8907
exymw,0.6191,0.7384
duvox,0.1572,0.5798
jsbdo,0.7766,0.9693
pilgb,0.1845,0.6882
zmndm,0.0141,0.014
tnjoh,0.4008,0.7792
vuewy,0.5183,0.7605
ezxso,0.8011,0.9509
txcok,0.6908,0.8504
crixb,0.4791,0.808
edixl,0.7405,0.8968
qoarn,0.2223,0.6541
bjruf,0.4257,0.8098
jbowg,0.8649,0.9117
zvmyn,0.0559,0.0532
kpjud,0.5756,0.9425
tvtoe,0.1819,0.4043
isxwc,0.1469,0.6683
usbgm,0.0071,0.007
wspbh,0.5202,0.6331
nnqfq,0.9947,0.9977
aufkn,0.0887,0.6782
wdjyj,0.7201,0.8885
mwfmq,0.9929,0.9955
iacod,0.2205,0.4731
mjmgr,1.0075,0.949
ocfop,0.3029,0.6989
ipqqq,0.6423,0.8535
iabca,0.3287,0.5774
ahnss,0.8194,0.9505
mclsr,0.8459,0.9487
zedtj,0.2464,0.6121
cawnd,0.8261,0.7868
wprog,0.2846,0.8123
mqtep,0.8541,0.8788
zzsba,0.2784,0.6486
zzyyo,0.8001,0.9775
oenox,0.0063,0.0051
ampme,0.0723,0.4629
bwzyf,0.179,0.6822
eddje,0.7112,0.847
dxokr,0.0694,0.6146
jyflp,0.4381,0.6581
gwtwd,0.772,0.7956
qvtia,0.345,0.6734
zsgto,0.1796,0.4951
ntchr,0.04,0.083
pqmho,0.2258,0.6112
ltgmz,0.2504,0.6381
qydmg,0.0027,0.0027
sduml,0.78,0.8753
qhesr,0.279,0.2605
tiido,0.3541,0.734
lknjp,0.7515,0.8452
pccww,0.0655,0.0775
falxo,0.4986,0.7378
tbjqx,0.8081,0.8683
ylzez,0.0888,0.6601
ccokr,0.5919,0.8156
yuzyu,0.1147,0.5725
evtyi,0.203,0.8432
xtdcl,0.3241,0.6491
rarij,0.9436,0.9378
jtagk,0.0798,0.5952
uhfrw,0.8302,0.9383
xmfzh,0.8258,0.8905
myjoe,0.3629,0.6628
yzvon,0.9328,0.8254
vmaiq,0.8488,0.946
hgeec,0.7862,0.9417
jiqvr,0.7382,0.89
gtnjb,0.7096,0.8969
praxo,0.0861,0.135
wwzsk,0.811,0.9108
qfdpp,0.573,0.8446
mkhie,0.9461,0.9529
iwdjy,0.1904,0.7548
wdvva,0.5642,0.6558
ysgbf,0.0686,0.0643
dkabn,0.2474,0.4573
jnivh,0.8338,0.9251
ibrnm,0.813,0.8685
bydui,0.8097,0.9165
eguui,0.4993,0.7868
iowob,0.9021,0.8871
ytmef,0.0459,0.2769
hqyok,0.0301,0.0293
ygrip,0.6944,0.8933
plbbw,0.0247,0.5052
migzj,0.6507,0.7578
sxqvt,0.3302,0.844
xypdm,0.5029,0.9132
rsypp,0.9756,0.9909
oklol,0.868,0.8522
ycxxe,0.7024,0.8473
lubpm,0.1251,0.198
rmvsh,0.0209,0.025
oqwpd,0.6665,0.6783
tkybe,0.1057,0.2109
wmori,0.0599,0.0812
fuzfh,0.5843,0.7266
mhwyr,0.7394,0.8081
uatlu,0.3481,0.5352
oxxwk,0.2435,0.6082
xggbk,0.6136,0.7849
willh,0.4802,0.7379
iqtde,0.4338,0.6381
kvkje,0.1559,0.2952
fpfvy,0.5048,0.933
cjfer,0.5974,0.8099
hqhrb,0.317,0.6302
pwnsw,0.7707,0.9481
msbyq,0.3629,0.7087
cmfyw,0.7475,0.6867
bpzsc,0.8303,0.8613
dohag,0.0194,0.0191
mxdpo,0.1166,0.6935
pkwrt,0.9178,0.9801
