File                    DER   MISS     FA   CONF    JER
bravd                 0.252  0.603  1.267 113.829  0.329
zqidv                 0.270 51.144 25.926 118.150  0.561
uqxlg                 0.283  2.400  6.807 69.892  0.650
diysk                 0.435 24.830 60.968 407.254  0.694
xlyov                 0.044  1.354  7.354 19.134  0.680
tkhgs                 0.101  1.770  2.977 20.500  0.641
usqam                 0.249  2.600 23.954 119.508  0.512
rcxzg                 0.200  0.712  0.536 35.279  0.456
aisvi                 0.075  8.166  3.021 21.787  0.386
kctgl                 0.182  8.086  0.046 10.720  0.464
fkvvo                 0.090  1.013  2.634 44.524  0.287
eoyaz                 0.510  1.007  2.632 104.120  0.695
dscgs                 0.304  3.188  1.371 58.832  0.748
eucfa                 0.400  0.067  1.602 29.918  0.795
zidwg                 0.143  4.311  2.627 16.959  0.347
exymw                 0.139  0.277  1.480 10.366  0.225
duvox                 0.131 20.615 15.903 82.728  0.596
jsbdo                 0.245  7.742 17.623 187.862  0.670
pilgb                 0.166  8.092  4.539 77.376  0.556
zmndm                 0.022  1.763  2.101  2.235  0.511
tnjoh                 0.352 13.280  1.341 12.072  0.670
vuewy                 0.376  3.401 17.598 446.204  0.567
ezxso                 0.153  0.118 10.373 29.047  0.321
txcok                 0.099  2.107  1.725 40.618  0.396
crixb                 0.246  3.938  1.218 71.622  0.722
edixl                 0.136  0.472  0.999 40.556  0.363
qoarn                 0.126 21.628 42.340 69.390  0.457
bjruf                 0.574 30.678  7.457 175.443  0.883
jbowg                 0.076 17.748 26.364 41.846  0.424
zvmyn                 0.090  4.431  5.804  0.000  0.086
kpjud                 0.349  1.642  2.383 47.220  0.757
tvtoe                 0.022 10.963  1.982  2.270  0.344
isxwc                 0.169  0.555  3.202 17.546  0.430
usbgm                 0.007  0.018  0.388  0.000  0.007
wspbh                 0.095  3.146  7.841 49.794  0.260
nnqfq                 0.337  7.680  0.031 50.576  0.498
aufkn                 0.276  0.403  0.706 50.644  0.809
wdjyj                 0.450  0.656  6.627 77.631  0.568
mwfmq                 0.020  1.860  0.843  6.134  0.511
iacod                 0.191 50.279 41.115 100.022  0.546
mjmgr                 0.946  0.907  6.646 246.963  0.801
ocfop                 0.307 32.884  4.119 379.889  0.789
ipqqq                 0.149  2.213  0.545 47.782  0.515
iabca                 0.557  8.810  5.172 77.892  0.804
ahnss                 0.215  1.762  0.071 153.959  0.567
mclsr                 0.244  1.122  3.019 63.074  0.623
zedtj                 0.113 13.303 49.678 58.268  0.558
cawnd                 0.529 24.301 14.933 565.996  0.475
wprog                 0.337 103.101 111.180 67.101  0.847
mqtep                 0.126  2.876  1.414 12.532  0.443
zzsba                 0.141 14.637 58.108 78.895  0.447
zzyyo                 0.198  7.012 19.870 195.122  0.518
oenox                 0.779  0.211  0.248 56.480  0.880
ampme                 0.185  3.741  0.648 20.996  0.344
bwzyf                 0.113  2.928  0.832  3.960  0.434
eddje                 0.338  2.881  2.210 160.429  0.699
dxokr                 0.085  0.167  3.449 11.311  0.623
jyflp                 0.162  3.272  1.290 69.846  0.296
gwtwd                 0.241  0.400  0.179 14.193  0.449
qvtia                 0.424 27.236 45.298 22.559  0.749
zsgto                 0.111 19.629 44.476 56.863  0.629
ntchr                 0.046  1.491  1.669 14.953  0.391
pqmho                 0.226  0.201  0.178  2.990  0.611
ltgmz                 0.225 25.585  2.205 10.697  0.614
qydmg                 0.003  0.000  0.306  0.000  0.003
sduml                 0.072  3.299 19.325 24.418  0.197
qhesr                 0.923  6.880  0.460 130.298  0.957
tiido                 0.319 11.058 12.476 77.431  0.795
lknjp                 0.241  0.233  0.380 16.064  0.476
pccww                 0.083  2.509  0.951  7.461  0.314
falxo                 0.319 24.800  4.041 103.103  0.554
tbjqx                 0.266 25.301  7.502 186.497  0.698
ylzez                 0.087 11.458 65.844 17.889  0.651
ccokr                 0.308  4.379  0.797 60.151  0.502
yuzyu                 0.132 39.976  0.143 46.652  0.437
evtyi                 0.235 78.009 14.482 50.721  0.888
xtdcl                 0.246 24.267  9.988  4.419  0.300
rarij                 0.112 33.744 16.411 76.168  0.308
jtagk                 0.072 11.375  4.652  1.924  0.392
uhfrw                 0.219 21.261 25.744 139.157  0.692
xmfzh                 0.352 12.533  1.698 47.221  0.531
myjoe                 0.354 11.773 17.951 157.211  0.834
yzvon                 0.139 11.605 37.357 59.503  0.702
vmaiq                 0.836  5.742 13.504 581.024  0.903
hgeec                 0.064  0.525  0.541 26.474  0.215
jiqvr                 0.289  2.441  1.027 19.555  0.551
gtnjb                 0.090  4.115  7.276 97.134  0.450
praxo                 0.088  3.510  2.537 38.585  0.647
wwzsk                 0.079  3.108  1.526 46.471  0.269
qfdpp                 0.068  0.374  1.120 20.406  0.398
mkhie                 0.573 26.572 31.940 563.277  0.462
iwdjy                 0.155 18.233  3.426  9.245  0.567
wdvva                 0.305  6.653  1.880 14.567  0.363
ysgbf                 0.086  0.171  6.502  1.680  0.536
dkabn                 0.187 112.337 16.014 75.187  0.427
jnivh                 0.312  9.653  0.000 42.490  0.621
ibrnm                 0.752 13.511 39.255 788.623  0.455
bydui                 0.135  0.269  1.026 36.640  0.511
eguui                 0.442  0.169  0.011 55.301  0.669
iowob                 0.100 28.455 24.325 60.316  0.523
ytmef                 0.041  0.168 11.238  8.521  0.267
hqyok                 0.030  0.077  0.556  0.000  0.029
ygrip                 0.107  4.113  3.203 22.913  0.632
plbbw                 0.060  1.152  0.717  2.696  0.682
migzj                 0.437  9.788  0.077 96.719  0.588
